"null";"97.01";"Tamamen elle yapılmış yağlı boya, karakalem ve pastel resimler ";;
"null";;"(49.06 pozisyonundaki çizimler ve elle boyanmış veya elle dekore ";;
"null";;"edilmiş fabrikasyon ürünler hariç); kolajlar (yapıştırma resimler), mozaikler";;
"null";;"ve benzeri dekoratif plakalar";;
"null";;" - 100 yaşını geçenler:";;
"null";"9701.21.00.00.00";" - - Yağlı boya, karakalem ve pastel resimler";"-";0
"null";"9701.22.00.00.00";" - - Mozaikler";"-";0
"null";"9701.29.00.00.00";" - - Diğerleri";"-";0
"null";;" - Diğerleri:";;
"null";"9701.91.00.00.00";" - - Yağlı boya, karakalem ve pastel resimler";"-";0
"null";"9701.92.00.00.00";" - - Mozaikler";"-";0
"null";"9701.99";" - - Diğerleri:";;
"null";"9701.99.00.05.00";" - - - Tamamen elle yapılmış sanat eseri niteliğindeki kolaj ve benzeri dekoratif panolar";"-";150
"null";"9701.99.00.10.00";" - - - Çiçekler, çiçek goncaları ve tomurcuklar ile yapraklı dallar, ince dallar";;
"null";;"      ve bitkilerin diğer parçaları, otlar, yosunlar ve dikenlerden yapılmış";;
"null";;"      olanlar";"-";25
"null";"9701.99.00.20.00";" - - - Plastik maddelerden yapılmış olanlar";"-";150
"null";"9701.99.00.30.00";" - - - Ahşaptan yapılmış olanlar";"-";70
"null";"9701.99.00.40.00";" - - - Tabii mantardan yapılmış olanlar";"-";50
"null";"9701.99.00.50.00";" - - - Baskı yapılmış resim veya dekoratif motiflerle süslenmiş olanlar";"-";60
"null";"9701.99.00.60.00";" - - - Mensucattan yapılmış olanlar";"-";100
"null";"9701.99.00.70.00";" - - - Adi metallerden yapılmış olanlar";"-";100
"null";"9701.99.00.90.00";" - - - Diğerleri";"-";150
"null";;;" ";
"null";"97.02";"Orijinal gravürler, estamplar ve litoğrafyalar";;
"null";"9702.10.00.00.00";" - 100 yaşını geçenler";"-";0
"null";"9702.90.00.00.00";" - Diğerleri";"-";0
"null";;;;
"null";"97.03";"Heykel veya yontu sanatının orijinal eserleri (yapıldığı madde ne";;
"null";;"olursa olsun)";;
"null";"9703.10.00.00.00";" - 100 yaşını geçenler";"-";0
"null";"9703.90.00.00.00";" - Diğerleri";"-";0
"null";;;" ";
"null";"9704.00.00.00.00";"Kullanılmış veya kullanılmamış posta pulları, damga ve 'harç ";" ";
"null";;"pulları, matbu posta pulu veya posta pulu yerine geçen damga";;
"null";;" taşıyan zarflar ve benzerleri (4907 pozisyonunda yer alanlar hariç)";"-";0
"null";;;" ";
"null";"97.05";"Zooloji, botanik, mineroloji, anatomiye ait veya tarihi, arkeolojik,";" ";
"null";;"paleontolojik, etnoğrafik veya nümizmatik bir değeri bulunan";" ";
"null";;"kolleksiyon ve örnekler";;
"null";"9705.10.00.00.00";" - Arkeolojik, etnoğrafik veya tarihi bir değeri bulunan koleksiyon ve örnekler";"-";0
"null";;" - Zoolojik, botanik, minerolojik, anatomik veya paleontolojik bir değeri bulunan  ";;
"null";;"   koleksiyon ve örnekler:";;
"null";"9705.21.00.00.00";" - - İnsan örnekleri ve bunların parçaları";"-";0
"null";"9705.22.00.00.00";" - - Soyu tükenmiş veya nesli tükenmekte olan türler ve bunların parçaları ";"-";0
"null";"9705.29.00.00.00";" - - Diğerleri";"-";0
"null";;" - Nümizmatik bir değeri bulunan koleksiyon ve örnekler:";;
"null";"9705.31.00.00.00";" - - 100 yaşını geçenler";"-";0
"null";"9705.39.00.00.00";" - - Diğerleri";"-";0
"null";;;;
"null";"97.06";"Eskiliği yüzyılı aşan antika eşya";;
"null";"9706.10.00.00.00";" - 250 yaşını geçenler";"-";0
"null";"9706.90.00.00.00";" - Diğerleri";"-";0
